name,index,radii,lat,lon
東京都大田区,10,"[4.0, 1.6120421604675883, 1.5058197650358065, 1.285946398979374, 0.9247344587507306, 0.7035676995268685, 0.6316850554709524, 0.9363936366311985, 1.5474312070849767, 2.2765989829627618, 3.267805758395595, 1.1589215959285057, 1.2686135734878492, 1.09479650860282, 0.9909222916143702, 0.7807468312323927, 0.7612909903033982, 0.9916062230368782, 1.959078961013835, 2.9745968367353313, 3.999999999999082, 1.6120421604679254, 1.5057062896680093, 1.286059874346786, 0.9247344587506676, 0.70356769952596, 0.6316850554707469, 0.9362454706322015, 1.5474681439509592, 2.276710212095024, 3.2678057583959204, 1.1589215959290202, 1.2685408176094162, 1.0948692644807725, 0.9908436766589749, 0.7808254461863492, 0.7612909903031744, 0.9916062230365459, 1.9590789610141235, 2.974596836734411]",35.56667506464578,139.72184295623592
東京都中央区,11,"[0.18826063311900446, 0.7314543267986734, 1.1197771430545669, 3.4430115984607075, 3.3191633284776163, 2.379738835099681, 1.945988177231741, 1.4993500547095806, 0.5245305643021209, 0.6418949729982131, 0.11458778918293527, 0.4128332942847151, 1.0186305335942072, 2.1384259690040404, 3.250598960749427, 4.0, 2.1976696391365618, 2.215675743575723, 0.8957224749616534, 0.8440228168525258, 0.18826063311898064, 0.7243279730424309, 1.122434984833909, 3.440261355304402, 3.3246744146576557, 2.3768415577735165, 1.9485953365224735, 1.4979366017828288, 0.5268792044274675, 0.6429575727754037, 0.1145877891829907, 0.41114292899984284, 1.0177060824762314, 2.1327778937818502, 3.2573889398786107, 3.9886915163444545, 2.210451035270057, 2.214231686942435, 0.89659208334173, 0.8445972651078274]",35.67071668385419,139.7766725824729
東京都板橋区,12,"[2.7809084575455176, 2.1241844625701116, 1.5514983802857467, 1.0077002277616587, 0.9173316594966565, 0.9415669384137386, 1.0492439357695613, 1.0091362622045925, 1.7720833650725867, 3.054651074695257, 2.1012166106304617, 1.5565326218720275, 1.3002768255017731, 0.9260058986632428, 0.8257576026179652, 0.9488599771975998, 1.1897481860652739, 1.2825425743512202, 2.2483778080112446, 4.0, 2.780685330616581, 2.124407589499374, 1.5514983802838913, 1.0077002277636216, 0.9173316594979464, 0.9413042831221164, 1.049506591059611, 1.0090015000734045, 1.7722181272023843, 3.0546510746951756, 2.101012767938818, 1.5567364645629045, 1.3002768255015862, 0.9260058986645264, 0.8257576026190575, 0.9488599771958433, 1.1897481860649495, 1.2822340885417278, 2.248686293820432, 3.9999999999997806]",35.772575464767414,139.6764652668715
東京都港区,13,"[1.6785602771814534, 1.4083996686041171, 1.5369160162779203, 0.9888594536548115, 0.8916785933242818, 1.294127533498975, 1.6419796437360448, 2.3498349576444904, 2.003811526950969, 3.119789920525964, 1.3475144366103768, 1.0018590349274823, 1.2333993774851835, 0.9947628518183643, 0.8485070942666219, 1.1242077870510916, 1.8541438834083754, 2.6904931014768496, 2.46984600250237, 4.0, 1.6785602771822692, 1.4083996686039992, 1.5369160162775588, 0.9883529931487578, 0.8921850538364056, 1.2941275334983908, 1.6414630364412097, 2.350351564939897, 2.003811526953179, 3.1197899205268382, 1.3475144366104146, 1.0018590349263183, 1.2333993774867211, 0.9947628518208623, 0.8485070942681939, 1.1242077870500844, 1.8541438834068247, 2.6900676310338842, 2.4702714729558313, 3.999999999998348]",35.654304831892134,139.73562755009698
東京都杉並区,14,"[3.992412567626075, 2.1199332811059897, 1.2691376505603889, 0.7781504424642217, 0.4887236293476822, 0.6319787053669941, 1.2358322121085423, 2.3998899911748732, 2.896049928816232, 2.775695517069088, 3.0291731458794007, 1.6241941598662042, 1.1047412802304821, 0.7182207253696621, 0.496522107630411, 0.5817569638878617, 1.1755835495839457, 2.8684887449566396, 3.999999999995345, 3.715496118106629, 3.9924125676258853, 2.1199332811059115, 1.2691376505607763, 0.7781504424637828, 0.48872362934860974, 0.6319787053660795, 1.235832212109315, 2.3998307936205627, 2.896109126370793, 2.775695517069186, 3.0291731458792532, 1.6241941598657688, 1.1047412802305416, 0.7182207253694273, 0.4965221076312105, 0.5817569638869734, 1.175583549585356, 2.8684887449572765, 4.0, 3.715496118106325]",35.69681653900968,139.62542628876213
東京都世田谷区,15,"[3.927581433714718, 2.836403091584025, 1.8197850076178193, 1.1959690768955227, 0.9208363260251924, 0.8320182615598536, 1.1002678836126698, 1.612406407503123, 2.382479971298155, 2.999022773915356, 2.9944473004826904, 2.1014791161980955, 1.5126683703102959, 1.0936771715852178, 0.9431077753344845, 0.8487823435644999, 1.2123799724689825, 1.866065602875583, 3.180760757679523, 3.999551582742012, 3.9273203494890523, 2.8365486349213627, 1.8199005485064634, 1.195969076894834, 0.9205882705351558, 0.8322663170499665, 1.100178858622248, 1.6123197320930454, 2.382409394308438, 2.9992690513071834, 2.9942775665720367, 2.101648850108518, 1.5126683703099086, 1.0936771715846971, 0.9431077753353124, 0.8487823435635041, 1.212209601363333, 1.8662359739844576, 3.1803123404212688, 4.0]",35.63971467072422,139.63507077261457
東京都江戸川区,16,"[2.8040232850404716, 3.0277200748080775, 1.7520291343180263, 0.8836647111961353, 1.3126117268504969, 1.1425575662967598, 1.2579846842996125, 1.2287406955981366, 1.7805689106682574, 2.952620760411221, 2.086562110198233, 2.225233480436422, 1.6291841456869869, 0.7064510309619554, 1.0384657047678074, 1.313334250681498, 1.308494201945595, 1.5922056406187324, 2.17806232853065, 3.9999297129977576, 2.8037326462954075, 3.027865429565869, 1.7521744183037251, 0.8836647111943929, 1.312611726850601, 1.1425575662935608, 1.257984684298779, 1.228740695598858, 1.780416685505814, 2.9527729855724827, 2.0863010518011014, 2.225494538836283, 1.6290869327385358, 0.7065482439086271, 1.0384657047681172, 1.3133342506777226, 1.308494201944116, 1.592205640620655, 2.1779920415285217, 4.0]",35.692622094161635,139.87575876477808
東京都品川区,17,"[3.4447552454017734, 1.7980800450667012, 1.2190538245730005, 1.1106798694754028, 1.1595319267421418, 1.248346757731761, 1.403399826141016, 1.9257736578772089, 2.7540677912005034, 3.078069356335951, 2.7320977123307606, 1.4901956737066555, 0.9790901399118802, 0.9856992909376446, 0.9990250703172642, 1.2565976633453577, 1.594982532024312, 2.301607307752161, 3.4034691145413434, 4.0, 3.4447552454024803, 1.7980800450661196, 1.2190538245729572, 1.110679869471962, 1.1595319267488955, 1.2483467577315674, 1.403399826135435, 1.9257736578785958, 2.7537384782268584, 3.07839866930978, 2.731941099231092, 1.4903522868055634, 0.9790901399138703, 0.9856992909353706, 0.9990250703227853, 1.2565976633449594, 1.5948037387568266, 2.3015860129328782, 3.4036692026241564, 3.9999999999988978]",35.615028929075,139.7117742703484
東京都目黒区,18,"[3.542405240189858, 3.5980196204554042, 2.4080987643086833, 1.7119302722632987, 1.194730850737644, 1.235547177390657, 1.1191295299027895, 1.1971072902997142, 1.924924231869181, 3.0923902598756534, 2.6853930819195524, 2.6564264059659766, 2.1318739008200978, 1.5555441691537566, 1.2536236042638786, 1.2824926421551188, 1.276345848802611, 1.420320299553805, 2.3555513444466785, 4.0, 3.541445974921834, 3.598978885724365, 2.407677107892588, 1.712351928679514, 1.1947308507359848, 1.2355471773927795, 1.1191295299043846, 1.197107290301343, 1.9249242318666826, 3.092390259872679, 2.6850224313894766, 2.656797056495719, 2.131873900822107, 1.5553603634646425, 1.2538074099509324, 1.282492642157455, 1.276345848805332, 1.4203202995579165, 2.355551344439772, 3.9999999999999796]",35.62997365867513,139.68823319065504
東京都北区,19,"[4.0, 2.867371687455438, 2.235804516169129, 1.535993958009698, 1.5067575224534147, 1.4690064285512243, 1.3567485879912353, 1.4458245011658795, 1.595220669166564, 2.6879008066323644, 3.1050207100798044, 2.1329373880152764, 1.8849447108907542, 1.470401599059001, 1.3557370004350553, 1.5715416996764038, 1.6018200134510248, 1.8129293059793545, 2.081561509645601, 3.488903637944259, 3.999529599088211, 2.8678420883680036, 2.2358045161683524, 1.5359939580133728, 1.5067575224491752, 1.4690064285522697, 1.3567485879914551, 1.4458245011653552, 1.5950222118240889, 2.6880992639753374, 3.1046923561261535, 2.133265741970011, 1.8849447108897732, 1.4704015990609804, 1.3557370004314848, 1.5715416996775773, 1.6012186212178139, 1.8135306982115356, 2.0815615096474716, 3.48890363794336]",35.76589861246537,139.72892164661488
東京都文京区,20,"[4.0, 3.8551987064389333, 2.563240737257317, 3.028949163991543, 3.0440741805023035, 2.5215908946425056, 1.6364291632356547, 1.3441034938555254, 1.9209438287464646, 2.149972948580217, 2.929447788354418, 3.0827505788512872, 2.104438306037025, 2.2847944356413947, 2.8496072422949577, 2.9595140627764738, 2.0438295367496893, 1.5266811214742884, 2.4437264324887162, 2.7564483759090663, 3.9991345928884336, 3.8560641135502682, 2.563240737255526, 3.028949163996876, 3.0436819915779583, 2.521983083565169, 1.6364291632346954, 1.3441034938513308, 1.9198309408941627, 2.1510858364353114, 2.9290925154292107, 3.083105851775799, 2.10388424924424, 2.285348492434376, 2.8481088961404377, 2.9610124089302157, 2.0433921395582075, 1.5271185186551053, 2.4437264324858323, 2.75644837590729]",35.71745656528589,139.74728530422715
東京都豊島区,21,"[4.0, 2.6037177996140444, 2.4039549140063636, 2.2006852687787544, 2.7012047744084233, 2.4348976687652257, 2.3654165426999625, 2.3191951919123763, 2.786372926110586, 2.980542122036832, 3.042262156976044, 2.0822870730278087, 1.800676595172438, 1.8689105672242872, 2.3053442583695674, 2.472880208966211, 2.707658713107286, 2.7097453142892354, 3.6530825146971395, 3.8810802136741307, 3.9999999999998312, 2.6037177996149508, 2.403954914004958, 2.200685268775615, 2.70055964337322, 2.4355427998113974, 2.365416542695949, 2.319195191912011, 2.786372926112038, 2.9805421220366775, 3.042262156975606, 2.081800505238529, 1.801163162961813, 1.8689105672223483, 2.3049176224008914, 2.473306844946007, 2.70765871310109, 2.709745314289229, 3.6530825146963886, 3.881080213672465]",35.7315305052925,139.71163708506873
東京都渋谷区,22,"[3.2522538158385763, 3.8783153028920565, 4.0, 3.6793100677599204, 3.341516310663651, 2.765769881128806, 2.2621268231707696, 1.9043452932957718, 1.861524155075588, 1.790426438126185, 2.491958929262949, 2.951972268180239, 3.18283010939058, 3.1282356068154944, 3.3502184409113602, 3.0737920481448717, 2.766617063727444, 2.4973728322286015, 2.350188072848342, 2.372224327690912, 3.251262129104404, 3.879306989628185, 3.9993766512689883, 3.679933416498063, 3.3399913146952542, 2.765504480388723, 2.2635286077758576, 1.9047339053910264, 1.8610953218455366, 1.7908552713567634, 2.491958929264269, 2.9519722681787135, 3.182830109388543, 3.127828104072497, 3.3495647030203335, 3.074853288775881, 2.766617063720083, 2.497372832228505, 2.3493692616813435, 2.3730431388556026]",35.66788403239531,139.696276907098
